code,obj,date
000001.SZ,453954720,2019-01-28 09:06:18
000001.SZ,454309839,2019-01-31 16:32:52
000001.SZ,454147929,2019-01-30 02:08:00
000002.SZ,454364141,2019-02-01 07:54:02
000002.SZ,454349437,2019-01-31 23:44:00
000004.SZ,454349850,2019-02-01 01:06:36
000009.SZ,454051542,2019-01-29 08:37:47
000018.SZ,454361306,2019-02-01 07:12:51
000048.SZ,454362349,2019-02-01 07:31:32
000048.SZ,454349448,2019-01-31 19:36:00
000048.SZ,453976558,2019-01-28 13:26:04
000048.SZ,454346611,2019-01-31 22:32:00
000048.SZ,454346605,2019-01-31 22:43:00
000058.SZ,454350230,2019-02-01 01:18:29
000069.SZ,454361574,2019-02-01 07:15:00
000088.SZ,454054582,2019-01-29 09:09:18
000100.SZ,453977547,2019-01-28 13:36:01
000151.SZ,454054582,2019-01-29 09:09:18
000333.SZ,454355227,2019-02-01 04:35:44
000333.SZ,454270628,2019-01-31 09:08:33
000338.SZ,454330753,2019-01-31 20:14:35
000400.SZ,454267640,2019-01-31 08:42:48
000400.SZ,453989281,2019-01-26 15:48:00
000400.SZ,454050387,2019-01-29 08:28:57
000400.SZ,454359893,2019-02-01 06:45:46
000400.SZ,454050132,2019-01-29 08:25:56
000409.SZ,453976034,2019-01-28 13:16:07
000429.SZ,454360350,2019-02-01 07:01:19
000504.SZ,454355289,2019-02-01 04:35:58
000538.SZ,454350027,2019-02-01 01:09:49
000538.SZ,453975486,2019-01-28 13:05:31
000538.SZ,454247345,2019-01-31 01:05:29
000541.SZ,454350806,2019-01-31 14:51:00
000551.SZ,453954720,2019-01-28 09:06:18
000552.SZ,454006241,2019-01-28 19:00:29
000564.SZ,453965475,2019-01-28 10:42:51
000568.SZ,454361629,2019-02-01 07:15:54
000572.SZ,454311069,2019-01-31 16:59:57
000572.SZ,454361401,2019-02-01 07:13:25
000572.SZ,454361417,2019-02-01 07:13:34
000591.SZ,454320020,2019-01-31 18:07:19
000595.SZ,454130722,2019-01-29 23:03:22
000608.SZ,454362349,2019-02-01 07:31:32
000623.SZ,454364052,2019-02-01 07:52:49
000625.SZ,454042955,2019-01-29 07:02:16
000630.SZ,454084649,2019-01-29 14:46:26
000636.SZ,454362349,2019-02-01 07:31:32
000663.SZ,454362078,2019-02-01 07:25:42
000663.SZ,454349831,2019-02-01 01:06:38
000665.SZ,454161235,2019-01-30 09:05:48
000673.SZ,454364780,2019-02-01 08:02:55
000673.SZ,454316696,2019-01-31 18:04:49
000681.SZ,454357754,2019-02-01 05:52:01
000701.SZ,454350806,2019-01-31 14:51:00
000707.SZ,454276631,2019-01-31 10:05:08
000711.SZ,454362283,2019-02-01 07:29:48
000750.SZ,453954720,2019-01-28 09:06:18
000759.SZ,454320020,2019-01-31 18:07:19
000759.SZ,454360366,2019-02-01 07:01:23
000767.SZ,454349496,2019-01-31 09:30:25
000768.SZ,454162687,2019-01-30 09:16:48
000785.SZ,454320020,2019-01-31 18:07:19
000792.SZ,454294855,2019-01-31 13:35:39
000792.SZ,454191156,2019-01-30 14:33:51
000792.SZ,454316696,2019-01-31 18:04:49
000793.SZ,454364780,2019-02-01 08:02:55
000793.SZ,454365320,2019-02-01 08:05:45
000820.SZ,454353606,2019-01-31 10:22:41
000828.SZ,454324570,2019-01-31 19:05:34
000830.SZ,454270628,2019-01-31 09:08:33
000860.SZ,453956430,2019-01-28 09:22:45
000862.SZ,454348405,2019-02-01 00:31:28
000883.SZ,454359919,2019-02-01 06:46:57
000883.SZ,454362349,2019-02-01 07:31:32
000895.SZ,454045792,2019-01-29 07:40:22
000899.SZ,453954720,2019-01-28 09:06:18
000911.SZ,454316696,2019-01-31 18:04:49
000911.SZ,454353388,2019-02-01 03:31:06
000917.SZ,454364780,2019-02-01 08:02:55
000918.SZ,454349448,2019-01-31 19:36:00
000918.SZ,454306604,2019-01-31 15:58:59
000918.SZ,454346608,2019-01-31 22:27:00
000925.SZ,454348405,2019-02-01 00:31:28
000929.SZ,454362349,2019-02-01 07:31:32
000932.SZ,454270628,2019-01-31 09:08:33
000933.SZ,454348988,2019-02-01 00:40:55
000936.SZ,454324570,2019-01-31 19:05:34
000936.SZ,453987703,2019-01-28 15:48:57
000939.SZ,454316696,2019-01-31 18:04:49
000939.SZ,454304163,2019-01-31 15:28:07
000939.SZ,454123864,2019-01-29 21:43:25
000957.SZ,454354474,2019-02-01 04:08:44
000961.SZ,454206990,2019-01-30 17:08:09
